batter,batting_team,bowling_team,venue,season,over_category,total_runs,strike_rate,venue_avg_runs
A Ashish Reddy,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2012,Death,3,148.8372093023256,19.5
A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2012,Death,8,148.8372093023256,8.454545454545455
A Ashish Reddy,Deccan Chargers,Mumbai Indians,Wankhede Stadium,2012,Middle,10,138.33333333333334,10.0
A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012,Death,10,148.8372093023256,8.454545454545455
A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2012,Death,4,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013,Death,35,148.8372093023256,19.5
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013,Middle,1,138.33333333333334,19.5
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015,Death,6,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Death,15,148.8372093023256,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,2013,Death,0,148.8372093023256,16.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,2013,Middle,16,138.33333333333334,16.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2013,Powerplay,5,71.42857142857143,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2015,Death,22,148.8372093023256,22.0
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2013,Death,7,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2013,Death,3,148.8372093023256,4.0
