batter,batting_team,bowling_team,venue,season,over_category,total_runs,balls_faced_x,runs_scored,balls_faced_y,strike_rate,venue_avg_runs
A Ashish Reddy,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2012,Death,3,3,192,129,148.8372093023256,19.5
A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2012,Death,8,8,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Deccan Chargers,Mumbai Indians,Wankhede Stadium,2012,Middle,10,10,83,60,138.33333333333334,10.0
A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012,Death,10,4,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2012,Death,4,5,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013,Death,35,14,192,129,148.8372093023256,19.5
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013,Middle,1,2,83,60,138.33333333333334,19.5
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015,Death,6,6,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Death,15,8,192,129,148.8372093023256,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,2013,Death,0,1,192,129,148.8372093023256,16.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,2013,Middle,16,8,83,60,138.33333333333334,16.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2013,Powerplay,5,7,5,7,71.42857142857143,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2015,Death,22,8,192,129,148.8372093023256,22.0
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2013,Death,7,7,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2013,Death,3,4,192,129,148.8372093023256,4.0
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2013,Middle,1,1,83,60,138.33333333333334,4.0
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2016,Death,13,9,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2015,Middle,17,15,83,60,138.33333333333334,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,2013,Death,16,12,192,129,148.8372093023256,19.0
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,2013,Middle,3,3,83,60,138.33333333333334,19.0
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",2013,Death,7,4,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Death,13,9,192,129,148.8372093023256,14.0
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013,Death,11,8,192,129,148.8372093023256,14.0
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013,Middle,3,3,83,60,138.33333333333334,14.0
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Death,3,4,192,129,148.8372093023256,17.5
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016,Middle,32,18,83,60,138.33333333333334,17.5
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2013,Death,14,12,192,129,148.8372093023256,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2016,Death,2,3,192,129,148.8372093023256,8.454545454545455
A Badoni,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,39,14,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Middle,20,21,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Chennai Super Kings,"Brabourne Stadium, Mumbai",2022,Death,19,14,332,212,156.60377358490567,9.5
A Badoni,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,13,11,332,212,156.60377358490567,12.0
A Badoni,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,10,8,273,246,110.97560975609757,12.0
A Badoni,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2024,Middle,2,3,273,246,110.97560975609757,6.0
A Badoni,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2024,Powerplay,4,6,29,47,61.702127659574465,6.0
A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,18,9,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Death,31,17,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Middle,24,21,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Death,10,3,332,212,156.60377358490567,14.0
A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,8,6,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Death,13,8,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Middle,7,4,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,8,12,273,246,110.97560975609757,9.0
A Badoni,Lucknow Super Giants,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023,Death,21,12,332,212,156.60377358490567,21.0
A Badoni,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",2022,Death,19,11,332,212,156.60377358490567,23.75
A Badoni,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",2022,Middle,33,23,273,246,110.97560975609757,23.75
A Badoni,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",2022,Powerplay,2,8,29,47,61.702127659574465,23.75
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Middle,15,13,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Death,13,7,332,212,156.60377358490567,27.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Middle,12,15,273,246,110.97560975609757,27.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2024,Middle,21,18,273,246,110.97560975609757,27.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2024,Powerplay,8,9,29,47,61.702127659574465,27.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022,Death,9,9,332,212,156.60377358490567,9.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,6,10,273,246,110.97560975609757,9.0
A Badoni,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Death,6,6,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,1,7,273,246,110.97560975609757,12.0
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2022,Death,11,9,332,212,156.60377358490567,23.75
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2022,Middle,3,2,273,246,110.97560975609757,23.75
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2024,Death,22,10,332,212,156.60377358490567,23.75
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,5,7,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Death,4,5,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Middle,4,5,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,4,4,273,246,110.97560975609757,9.0
A Badoni,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Middle,33,18,273,246,110.97560975609757,43.0
A Badoni,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Powerplay,10,7,29,47,61.702127659574465,43.0
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Death,15,12,332,212,156.60377358490567,19.636363636363637
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Middle,3,3,273,246,110.97560975609757,19.636363636363637
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Brabourne Stadium, Mumbai",2022,Powerplay,0,1,29,47,61.702127659574465,9.5
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2023,Middle,1,4,273,246,110.97560975609757,1.0
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2024,Powerplay,1,5,29,47,61.702127659574465,1.0
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Wankhede Stadium, Mumbai",2022,Middle,5,7,273,246,110.97560975609757,23.75
A Badoni,Lucknow Super Giants,Royal Challengers Bangalore,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Powerplay,4,11,29,47,61.702127659574465,19.636363636363637
A Badoni,Lucknow Super Giants,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",2022,Death,2,2,332,212,156.60377358490567,14.0
A Badoni,Lucknow Super Giants,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",2022,Middle,11,11,273,246,110.97560975609757,14.0
A Badoni,Lucknow Super Giants,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2023,Death,11,14,332,212,156.60377358490567,15.0
A Badoni,Lucknow Super Giants,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2023,Middle,19,15,273,246,110.97560975609757,15.0
A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Death,0,3,332,212,156.60377358490567,15.0
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022,Death,14,9,332,212,156.60377358490567,14.0
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022,Middle,5,4,273,246,110.97560975609757,14.0
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Death,29,14,332,212,156.60377358490567,55.0
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Middle,26,18,273,246,110.97560975609757,55.0
A Chandila,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2012,Death,0,1,4,7,57.14285714285714,0.0
A Chandila,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Death,4,6,4,7,57.14285714285714,4.0
A Chopra,Kolkata Knight Riders,Deccan Chargers,Newlands,2009,Middle,6,12,24,30,80.0,11.0
A Chopra,Kolkata Knight Riders,Deccan Chargers,Newlands,2009,Powerplay,5,8,29,45,64.44444444444444,11.0
A Chopra,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007/08,Middle,16,15,24,30,80.0,24.0
A Chopra,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007/08,Powerplay,8,10,29,45,64.44444444444444,24.0
A Chopra,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2007/08,Powerplay,13,18,29,45,64.44444444444444,5.666666666666667
A Chopra,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2007/08,Middle,2,3,24,30,80.0,5.666666666666667
A Chopra,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,2007/08,Powerplay,1,4,29,45,64.44444444444444,1.0
A Chopra,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2007/08,Powerplay,2,5,29,45,64.44444444444444,5.666666666666667
A Choudhary,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,2017,Death,14,11,24,19,126.3157894736842,9.5
